City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,2015-01-09 16:00:00,46.42,91.5,0.03,12.35,11.68,15.38,0.03,30.99,93.08,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 17:00:00,46.42,91.5,0.17,13.7,11.95,15.38,0.17,37.93,95.38,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 19:00:00,46.42,91.5,15.27,51.67,66.92,15.38,15.27,56.78,19.0,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 20:00:00,46.42,91.5,100.82,62.65,163.43,15.38,100.82,84.22,11.0,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 22:00:00,46.42,91.5,7.96,1.88,0.0,15.38,0.8,5.0,11.62,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-09 23:00:00,46.42,91.5,7.96,1.88,0.0,15.38,0.8,4.25,12.75,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 00:00:00,46.42,91.5,7.96,3.25,0.0,15.38,0.8,3.38,9.88,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 01:00:00,46.42,91.5,7.96,8.12,0.0,15.38,0.8,8.88,2.38,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 02:00:00,46.42,91.5,7.96,9.75,0.0,15.38,0.8,12.62,1.38,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 03:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 04:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 08:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 09:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 10:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 11:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 13:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 15:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 16:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 18:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 19:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 21:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 22:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-10 23:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-11 00:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-11 02:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-11 03:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-11 05:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-11 06:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-11 08:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-11 09:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-11 10:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-11 12:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
Ahmedabad,2015-01-11 13:00:00,46.42,91.5,7.96,20.32,0.0,15.38,0.8,8.37,26.24,0.0,0.0,0.0,116.0,Moderate
